geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
lattice,6.0,2,625,0.021765008752772395,0.021765008752772395,1.4346796138467475e-05,0.9462708830833435,0.9538563383381847,0.007585455254841222,0.9870720498385541,0.9838344115748776,0.03364228829741478,nan,nan,nan,0.02396014862300298,0.0004392156862745098,0.00040294575606124474
lattice,8.0,0,625,0.002270332321506741,0.002270332321506741,1.0494973284482478e-07,0.9750828742980957,0.98115020488734,0.006067330589244246,0.9962608102111388,0.9922878537543375,0.013888604938983917,nan,nan,nan,0.0023621048315333806,0.0,3.296647355543722e-05
lattice,8.0,1,625,0.0020950150773888843,0.0020950150773888843,1.580065985586951e-07,0.9775060415267944,0.9836953296468297,0.0061892881200352745,0.9969366950582101,0.9928613235118784,0.012546854093670845,nan,nan,nan,0.0021684227014420548,0.0,3.230758566957013e-05
lattice,8.0,2,625,0.002848313302652568,0.002848313302652568,1.8599010561154987e-07,0.9765300154685974,0.9809501873664573,0.004420171897859926,0.9940324819792807,0.9937963934323547,0.014315016567707062,nan,nan,nan,0.0029646433057086783,0.0,4.084782706003751e-05
hierarchical,0.0,0,607,0.08788885178146659,0.08788885178146659,0.0433780773544926,0.04381853714585304,0.34047034971801254,0.2966518125721595,0.15059874239885593,0.19264044668905664,0.44813740253448486,nan,nan,nan,0.7703860757431477,0.40882514455535096,0.048301599665204434
hierarchical,0.0,1,607,0.08497808135877082,0.08497808135877082,0.03943284766335071,0.06441153585910797,0.34068332778505844,0.27627179192595047,0.17031616242289302,0.19908764206339966,0.43487733602523804,nan,nan,nan,0.7427942056106684,0.3916723196692186,0.05561307435229514
hierarchical,0.0,2,607,0.07457741995673871,0.07457741995673871,0.03843501496079442,0.05917291343212128,0.31794413364546525,0.258771220213344,0.1881261644828797,0.15660005392318874,0.44262585043907166,nan,nan,nan,0.7481499846302647,0.40265529605581935,0.05512374034002003
hierarchical,1.0,0,607,0.06459792042231141,0.06459792042231141,0.05795219802719714,0.16058142483234406,0.32667590541028346,0.1660944805779394,0.4075838426727098,0.2079553683731253,0.4435463547706604,nan,nan,nan,0.6133996098240254,0.4033659592337759,0.090574348205393
hierarchical,1.0,1,607,0.077695328716139,0.077695328716139,0.05676569013793719,0.16767241060733795,0.3361310935461914,0.16845868293885347,0.41675210431555926,0.2092391716622513,0.4386865198612213,nan,nan,nan,0.6955421081613946,0.39929579739638854,0.07600297069367723
hierarchical,1.0,2,607,0.06705161801842345,0.05897576486096736,0.06705161801842345,0.1695488840341568,0.3349786212227959,0.16542973718863913,0.4464793822102398,0.22378723307215068,0.4367487132549286,nan,nan,nan,0.6054734073581748,0.39199534838647154,0.10482586770953309
