sweep,seed,variant,amplitude,dissonance,dissonance_intensive,r_global,fragmentation,coherence_weight,k_sw,omega_ratio,omega_hz,branching_factor,segment_length,n_target
omega,1,,,0.0168485025365781,0.02002753055204081,0.8956396579742432,0.022322736207501137,0.8412670994458292,,0.95,5.319999999999999,,,
omega,0,,,0.06351781009247973,0.07529504069292375,0.8956407904624939,0.024263140113872317,0.8435855736040414,,1.0,5.6,,,
omega,1,,,0.024713669263366083,0.028480880315718275,0.9010322093963623,0.031724528332077395,0.8677284195364877,,1.0,5.6,,,
omega,0,,,0.032658553470628814,0.04034501595836559,0.8838251233100891,0.021738416373355163,0.8094817338610327,,1.05,5.88,,,
omega,1,,,0.09389043603551758,0.11197912153604678,0.8970823884010315,0.024545902518505414,0.8384637667057754,,1.05,5.88,,,
omega,0,,,0.17690732928209518,0.6378352836487636,0.4907134771347046,0.039046172493480524,0.2773558218198425,,1.15,6.4399999999999995,,,
omega,1,,,0.17697207888736358,0.6888445748862764,0.47504422068595886,0.03503812788134253,0.25691147951129684,,1.15,6.4399999999999995,,,
omega,0,,,0.06822092706448989,0.7438359764084026,0.19979356229305267,0.1058967021727304,0.09171501410014248,,1.3,7.279999999999999,,,
omega,1,,,0.0538069836772923,0.6799722190026709,0.19781701266765594,0.0863376241429265,0.07913115002876456,,1.3,7.279999999999999,,,
omega,0,,,0.050337524159117054,0.7657706452796567,0.10727473348379135,0.15191712091541987,0.06573446562545365,,1.6,8.959999999999999,,,
omega,1,,,0.04497389051605164,0.7667739687091996,0.10757633298635483,0.13737879918188634,0.05865338724495494,,1.6,8.959999999999999,,,
omega,0,,,0.04028563303537381,0.7044367387537622,0.08187689632177353,0.15946957220938196,0.05718843271383629,,2.0,11.2,,,
omega,1,,,0.034837430475997695,0.6315402559369161,0.08538142591714859,0.15170899270337795,0.05516264426297723,,2.0,11.2,,,
branching,0,,,0.17490735993125547,0.3186069663875203,0.7071358561515808,0.03477907276051584,0.5489753156197985,,,,2,,
branching,1,,,0.19908884021833645,0.3367004926214054,0.7393340468406677,0.030686638501218222,0.5912935816289316,,,,2,,
branching,0,,,0.2649798191272583,0.48430174678138876,0.7124208807945251,0.028322976241804132,0.5471378554553693,,,,3,,
branching,1,,,0.19043370336752177,0.33663402317881513,0.7317346930503845,0.02126032665738742,0.5656995141764567,,,,3,,
branching,0,,,0.22773396615826677,0.4016759100759447,0.7251224517822266,0.028786408140207276,0.5669594826217215,,,,4,,
branching,1,,,0.19099449832600113,0.3299206026063159,0.7292719483375549,0.03253849903183803,0.5789104918491828,,,,4,,
segment,0,,,0.28676207380381064,0.513570181736196,0.7094296813011169,0.03891671590690404,0.5583697885931992,,,,,2,
segment,1,,,0.2345761909634714,0.4128898081727532,0.7360425591468811,0.01878566909052315,0.5681326744333798,,,,,2,
segment,0,,,0.2649798191272583,0.48430174678138876,0.7124208807945251,0.028322976241804132,0.5471378554553693,,,,,4,
segment,1,,,0.19043370336752177,0.33663402317881513,0.7317346930503845,0.02126032665738742,0.5656995141764567,,,,,4,
segment,0,,,0.22481930687463228,0.4089291798956591,0.7158417701721191,0.026455932641041735,0.5497756529186701,,,,,8,
segment,1,,,0.16266313896666773,0.2842137113076361,0.7353082299232483,0.02209218967081461,0.5723268529807111,,,,,8,
size,0,,,0.29849974900119514,0.5209032531116526,0.7114233374595642,0.046723334504252034,0.5730425894215205,,,,,,225
size,1,,,0.3380910865297257,0.49722678124441205,0.785097599029541,0.040352201735015525,0.679953492616756,,,,,,225
size,0,,,0.2649798191272583,0.48430174678138876,0.7124208807945251,0.028322976241804132,0.5471378554553693,,,,,,625
size,1,,,0.19043370336752177,0.33663402317881513,0.7317346930503845,0.02126032665738742,0.5656995141764567,,,,,,625
size,0,,,0.14483570119551928,0.25433801835054004,0.7335510849952698,0.021954871342579008,0.5694614675966384,,,,,,1225
size,1,,,0.1143512803349016,0.20134530395640748,0.7310456037521362,0.023335229956814918,0.5679361678068209,,,,,,1225
