amplitude,t_on,baseline_D,peak_D,t_peak,rise_s,sustained_fraction,attack_occurred,mid_window_D,mid_over_peak,end_window_D,terminates_while_driven,r_global_mid
5.0,90.76,0.05772859228003682,0.3954485318539173,92.0,1.2399999999999949,0.38095238095238093,True,0.1566353141035333,0.3960953233767371,0.2942413561566739,False,0.8750076038496835
5.0,30.76,0.04963783179835399,0.4044942581725684,32.0,1.2399999999999984,0.42857142857142855,True,0.15754344414327398,0.3894825228299325,0.3182536556715865,False,0.865192677293505
5.0,60.76,0.06342344657914008,0.4058557117391558,62.0,1.240000000000002,0.3333333333333333,True,0.1828743919229995,0.4505896717317439,0.3237766299762094,False,0.864527804510934
5.0,90.76,0.054601443547584234,0.40060772424718355,99.0,8.239999999999995,0.42857142857142855,True,0.17725383882905574,0.4424623593120893,0.29989015487932624,False,0.8637813925743103
6.0,30.76,0.062042532354190244,0.524340563870849,32.5,1.7399999999999984,0.3333333333333333,True,0.06827740512712797,0.13021576019807132,0.31690983123824207,False,0.9310816441263471
6.0,60.76,0.0584453917094777,0.45945151675506357,62.0,1.240000000000002,0.38095238095238093,True,0.057062021208133896,0.12419595784804865,0.307665341890744,False,0.9315788660730634
6.0,90.76,0.05454723555467583,0.4881835315569667,92.5,1.7399999999999949,0.3333333333333333,True,0.06889061750403933,0.14111622586760775,0.3138981551517434,False,0.9319937910352435
6.0,30.76,0.0644547709448063,0.48908717531626067,32.0,1.2399999999999984,0.3333333333333333,True,0.06556606380797439,0.13405803119981036,0.30282369371002316,False,0.9391216039657593
6.0,60.76,0.067096360475534,0.4388229903674023,62.0,1.240000000000002,0.3333333333333333,True,0.07117274389718335,0.16219009819333835,0.31628754278101184,False,0.9387073516845703
6.0,90.76,0.06970647270007657,0.4390317095833115,92.0,1.2399999999999949,0.38095238095238093,True,0.06496070422571534,0.1479635816906484,0.2979366700270181,False,0.9385748675891331
6.0,30.76,0.06517191101508217,0.4247142954590827,32.0,1.2399999999999984,0.38095238095238093,True,0.06923376197536116,0.16301255388760794,0.30666991535822996,False,0.9341570820127215
6.0,60.76,0.0685151791010396,0.4514136037198416,62.0,1.240000000000002,0.3333333333333333,True,0.06762830904830026,0.1498145126576027,0.30357467961890167,False,0.9341584614345005
6.0,90.76,0.06879155490412533,0.4355390490830587,92.0,1.2399999999999949,0.3333333333333333,True,0.0760235500919879,0.17455048003626872,0.2988308044393293,False,0.9336821266583034
7.5,30.76,0.0726069053063017,0.4751698015364373,32.0,1.2399999999999984,0.2857142857142857,True,0.01204929482360056,0.025357871616924686,0.3022734520181497,False,0.9681340966905866
